VendorName,ProfitMargin,SalesToPurchaseRatio,UnsoldInventoryValue,ActionBucket
BROWN-FORMAN CORP,25.297692514955152,1.338646734841754,79624.36999999538,Deprioritise / Exit
MARTIGNETTI COMPANIES,21.062809523586715,1.2668299871893762,87913.29000000643,Deprioritise / Exit
PERNOD RICARD USA,24.67578583081817,1.3275943347433425,4870.080000000537,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,27.13990840803124,1.3724934709116234,20535.899999998128,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,28.412764200414,1.3968970708683002,49712.19000000055,Deprioritise / Exit
BACARDI USA INC,27.10698036983264,1.3718734730343671,-54216.26999999687,Deprioritise / Exit
PERNOD RICARD USA,21.493098212399982,1.2737733590678364,35558.559999997764,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,19.43281151745337,1.2412000701956123,169785.74000001146,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,27.902067720973356,1.3870023291790032,28068.41999999836,Deprioritise / Exit
JIM BEAM BRANDS COMPANY,27.18108099980867,1.373269493326827,29403.44999999665,Deprioritise / Exit
PERNOD RICARD USA,28.783124780962684,1.4041615795755742,32150.35999999739,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,18.605389249989166,1.2285825692702472,123291.42000000419,Deprioritise / Exit
BACARDI USA INC,32.491892937281456,1.4813035700600345,-24011.819999998374,Deprioritise / Exit
MAJESTIC FINE WINES,37.22839740458448,1.5930770581808187,9681.099999999677,Scale / Prioritise
ULTRA BEVERAGE COMPANY LLP,27.73490480341179,1.3837939288388459,44358.71999999828,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,18.659177556992066,1.229394994992407,144338.48000000016,Deprioritise / Exit
PERNOD RICARD USA,24.167054387129188,1.3186880608660863,20163.180000002998,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,32.49181675337031,1.4813018983886288,-20317.549999999657,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,27.128210411779,1.3722731466466416,-12129.600000000792,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,19.455499298638003,1.241549691527345,599.7599999999954,Deprioritise / Exit
BACARDI USA INC,27.339386760495465,1.3762614371334734,10317.180000000339,Deprioritise / Exit
BACARDI USA INC,24.82310693863197,1.3301959675078416,16953.610000000437,Deprioritise / Exit
"STOLI GROUP,(USA) LLC",20.9153672347844,1.2644681590275244,11965.760000000419,Deprioritise / Exit
BACARDI USA INC,30.557677552709883,1.4400440030775836,37561.09999999908,Deprioritise / Exit
JIM BEAM BRANDS COMPANY,26.531068460379785,1.3611195631186246,29893.919999999634,Deprioritise / Exit
JIM BEAM BRANDS COMPANY,23.43862624752565,1.3061416625477955,30683.730000000378,Deprioritise / Exit
PROXIMO SPIRITS INC.,24.92474068721573,1.331996731218368,9411.820000000615,Deprioritise / Exit
BACARDI USA INC,33.23258493153398,1.497736581496467,-9447.480000000127,Deprioritise / Exit
MOET HENNESSY USA INC,30.689722065677778,1.4427874621244352,50972.80000000007,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,26.255182087402158,1.3560274854637206,-2502.400000000124,Deprioritise / Exit
PROXIMO SPIRITS INC.,26.52449463972861,1.3609977843591743,31479.919999999114,Deprioritise / Exit
CAMPARI AMERICA,22.471612800798464,1.2898501260326733,15645.560000000862,Deprioritise / Exit
MOET HENNESSY USA INC,33.85097448119352,1.511738067427305,11257.309999999841,Scale / Prioritise
PERNOD RICARD USA,16.71462756927482,1.2006910347093382,29771.25,Deprioritise / Exit
SAZERAC CO INC,16.871098037844305,1.2029510511942627,40681.49999999691,Deprioritise / Exit
PERNOD RICARD USA,24.59466331670014,1.3261660831778654,24315.340000000033,Deprioritise / Exit
BACARDI USA INC,26.866023913580893,1.3673535250132516,-97107.00999999575,Deprioritise / Exit
MARTIGNETTI COMPANIES,29.637637028432607,1.421214350638122,-17943.040000000616,Deprioritise / Exit
BROWN-FORMAN CORP,32.822323944303314,1.4885897499206504,-4364.820000000073,Deprioritise / Exit
JIM BEAM BRANDS COMPANY,18.828431046180945,1.23195844664396,70204.8499999975,Deprioritise / Exit
SAZERAC CO INC,30.74375014437731,1.4439130072515949,11398.099999999671,Deprioritise / Exit
PERNOD RICARD USA,18.475382756937638,1.2266233609150723,29624.040000000714,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,23.79593138795899,1.312265891065546,6807.329999999629,Deprioritise / Exit
PERNOD RICARD USA,22.71017693362289,1.293831400210597,-474.8799999999629,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,41.26965228558577,1.702697223695424,-185590.79999998712,Scale / Prioritise
CONSTELLATION BRANDS INC,20.906844271195435,1.2643319017751806,9653.279999999475,Deprioritise / Exit
SAZERAC CO INC,24.337414811013762,1.3216571935815433,14891.760000001561,Deprioritise / Exit
CONSTELLATION BRANDS INC,27.377944806763814,1.3769921511297813,11141.440000001341,Deprioritise / Exit
MARTIGNETTI COMPANIES,38.31731341387844,1.621200462148802,13824.719999999112,Scale / Prioritise
M S WALKER INC,20.88870559924064,1.2640420152073777,-2188.680000000073,Deprioritise / Exit
BROWN-FORMAN CORP,31.13756448129259,1.4521705374889573,9721.599999999731,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,28.82178778491888,1.404924300400062,2803.840000000249,Deprioritise / Exit
SAZERAC NORTH AMERICA INC.,30.51827386519838,1.4392273416752748,4975.480000000096,Deprioritise / Exit
CONSTELLATION BRANDS INC,39.75094236498295,1.6597769977713228,1254.2399999999038,Scale / Prioritise
DIAGEO NORTH AMERICA INC,18.274904940728636,1.2236143613840365,23458.890000000574,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,29.2183823040746,1.412796192785469,-12958.0200000002,Deprioritise / Exit
BROWN-FORMAN CORP,20.851706898694765,1.2634511254968668,13502.59999999945,Deprioritise / Exit
JIM BEAM BRANDS COMPANY,26.957658681020526,1.3690689289831923,49666.40000000226,Deprioritise / Exit
MARTIGNETTI COMPANIES,32.54078543364185,1.4823771762363493,5753.0700000001125,Deprioritise / Exit
PALM BAY INTERNATIONAL INC,36.628851125692634,1.5780051612815735,5251.5,Scale / Prioritise
MOET HENNESSY USA INC,30.752391805949575,1.4440931984217145,-5566.110000000112,Deprioritise / Exit
MARTIGNETTI COMPANIES,29.463274114005355,1.4177011867778713,16887.340000000695,Deprioritise / Exit
PERNOD RICARD USA,26.301799928051373,1.3568852414628034,19678.16999999864,Deprioritise / Exit
MOET HENNESSY USA INC,30.842637030577425,1.4459776328402556,19128.060000000412,Deprioritise / Exit
JIM BEAM BRANDS COMPANY,15.856187945924235,1.1884415212343138,76579.8000000041,Deprioritise / Exit
REMY COINTREAU USA INC,26.744397167125893,1.3650832992002095,13031.550000000245,Deprioritise / Exit
REMY COINTREAU USA INC,16.906097983077323,1.203457745667477,35351.21000000047,Deprioritise / Exit
MARTIGNETTI COMPANIES,40.41573026099663,1.678295302401614,-3020.059999999923,Scale / Prioritise
"STOLI GROUP,(USA) LLC",22.262616461926765,1.2863823742025386,-2835.6900000001933,Deprioritise / Exit
BROWN-FORMAN CORP,23.197622835491423,1.3020430316343303,27151.379999998735,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,27.37613696545979,1.3769578733706245,22526.6699999992,Deprioritise / Exit
SIDNEY FRANK IMPORTING CO,21.21167706683686,1.2692236143270992,37596.71999999796,Deprioritise / Exit
E & J GALLO WINERY,36.57299135840508,1.5766154220683335,17293.759999999562,Scale / Prioritise
WILLIAM GRANT & SONS INC,19.3175162326216,1.2394263950564208,34359.150000001915,Deprioritise / Exit
JIM BEAM BRANDS COMPANY,10.59555947750528,1.1185126758311223,13563.759999999975,Deprioritise / Exit
PROXIMO SPIRITS INC.,27.296930144201355,1.3754577378691557,22253.439999999555,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,31.41638097214704,1.4580741205766399,3953.279999999544,Deprioritise / Exit
PERNOD RICARD USA,25.396767200477765,1.3404244862783,-4978.589999999848,Deprioritise / Exit
HEAVEN HILL DISTILLERIES,26.67022473547222,1.3637025292831295,4196.080000000173,Deprioritise / Exit
SIDNEY FRANK IMPORTING CO,23.657232673314745,1.3098817805762915,5598.719999999747,Deprioritise / Exit
BACARDI USA INC,27.51683826623146,1.3796307667607148,3933.280000000116,Deprioritise / Exit
ULTRA BEVERAGE COMPANY LLP,33.17005558979964,1.4963352264099272,6071.870000000797,Deprioritise / Exit
WILLIAM GRANT & SONS INC,20.934244035630815,1.2647700484273467,52354.9000000008,Deprioritise / Exit
MAJESTIC FINE WINES,31.783500334416033,1.465921008703576,20530.56000000004,Deprioritise / Exit
PERNOD RICARD USA,25.339526769084237,1.339396814305103,14529.560000000929,Deprioritise / Exit
MOET HENNESSY USA INC,35.7866104536734,1.5573076068170366,-7721.64999999976,Scale / Prioritise
DISARONNO INTERNATIONAL LLC,34.60520542763753,1.5291737003523302,782.0999999999618,Scale / Prioritise
